,AttorneyUno,Total Hours,Ethnicities,Imprisoned,Male,Female,OtherGender,Juvenile,Family and Children,Individual Rights,Housing and Homelessness,"Work, Employment and Unemployment",Other,Health and Disability,Consumer Financial Questions,Income Maintenance,Education,"Family, Divorce, and Custody",Housing or Property,Debts and Purchases,Civil and Constitutional Rights,Wills and Inheritance,Work,Personal Injury
0,0023FF7C-934D-4974-87A9-B90BE52D4D5B,2.6,"['African American', '', 'Asian']",0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1,003C4876-C682-4E94-B161-4BE4B5AD0FBD,0.5,['African American'],0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,00401285-58EE-4E39-9807-87A570C4B9ED,1.6,"['Caucasian', 'African American,Asian']",0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3,00609EE0-87BE-496A-9847-A711F4569A25,1.0,"['African American', 'Caucasian', ""I'd rather not answer""]",0.0,2.0,4.0,1.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
4,00671667-CEAB-498B-B206-1035682DB33B,1.1,"['Caucasian', 'Latino or Hispanic', 'Caucasian,Other']",0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5,00714311-9110-4FC5-B306-6C5A4B24E960,9.4,"['Caucasian', 'Not Hispanic or Latino', ""I'd rather not answer""]",0.0,6.0,8.0,3.0,0.0,0.0,1.0,0.0,11.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,14.0,0.0
6,76C05831-9CE3-4FCC-ABDB-E70304E2E3BD,64.2,"['Caucasian', 'African American', '']",0.0,129.0,358.0,60.0,1.0,454.0,6.0,11.0,18.0,52.0,7.0,13.0,2.0,0.0,452.0,26.0,8.0,6.0,2.0,30.0,6.0
7,FA34142B-1575-4720-981C-2D28C3560137,402.1,"['Caucasian', 'Not Hispanic or Latino', 'African American']",0.0,542.0,1160.0,188.0,0.0,439.0,96.0,478.0,120.0,799.0,30.0,169.0,5.0,2.0,296.0,702.0,132.0,95.0,143.0,215.0,59.0
8,4C974026-843B-417E-BFCC-56913CC24551,4.2,"['African American', '', 'Caucasian']",0.0,3.0,8.0,2.0,0.0,3.0,0.0,2.0,0.0,8.0,1.0,2.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0
9,6E43EC98-8700-4439-98A9-52B663CCE348,86.7,"['Caucasian', 'African American', '']",0.0,105.0,277.0,52.0,2.0,173.0,22.0,67.0,19.0,136.0,8.0,41.0,3.0,0.0,149.0,102.0,35.0,21.0,24.0,35.0,31.0
10,007C6655-D2ED-47D3-9FE4-2E6BB31C764C,2.3,"['Caucasian', 'Other', 'Not Hispanic or Latino']",0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
11,0088BE23-C57A-4EEE-8DDA-35F956ACD34B,1.4,"['', 'African American', 'Caucasian']",0.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
12,34322290-1BBC-42BA-B351-76029E9E6F9D,349.52,"['Caucasian', 'African American', '']",0.0,296.0,758.0,231.0,0.0,162.0,2.0,512.0,15.0,688.0,7.0,239.0,2.0,4.0,162.0,504.0,251.0,0.0,0.0,22.0,0.0
13,5C711714-630C-4392-A7DD-433B0F9DFADB,0.6000000000000001,"['Caucasian', '']",0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
14,008F43FB-682A-4663-845A-BCE1A006D454,1.5,"['Caucasian', 'African American']",0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
15,390837A4-C502-402F-8E79-4CCF17E4E2BB,111.10000000000001,"['Caucasian', 'African American', '']",0.0,109.0,265.0,31.0,1.0,169.0,7.0,106.0,23.0,70.0,8.0,48.0,4.0,1.0,153.0,107.0,46.0,15.0,7.0,33.0,12.0
16,64748AD2-6F14-4AE2-83BE-0060B44786E7,9.4,"['Not Hispanic or Latino', 'Caucasian', '']",0.0,1.0,9.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,5.0,3.0,0.0,0.0,2.0,0.0
17,735D4273-3EAC-4C2A-AF1C-F1BCFAFFEED8,301.3,"['Caucasian', 'African American', '']",0.0,279.0,457.0,92.0,0.0,19.0,33.0,159.0,220.0,278.0,41.0,193.0,14.0,8.0,11.0,159.0,198.0,35.0,6.0,258.0,24.0
18,0093800E-3F2D-45CF-BFE7-ED729003A442,0.5,['Caucasian'],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,FEED22E4-96ED-4143-97AF-C5BDA01040A7,6.2,"['Caucasian', 'Not Hispanic or Latino', '']",0.0,12.0,18.0,5.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
20,0095D335-4EC8-4935-8BE7-6BA49CAAB060,0.5,['African American'],0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21,0098348B-FBB7-42D1-AEF2-852B4C3F512B,179.2,"['Caucasian', '', 'Not Hispanic or Latino']",0.0,124.0,230.0,115.0,0.0,184.0,25.0,73.0,28.0,189.0,12.0,40.0,7.0,1.0,184.0,95.0,49.0,5.0,5.0,33.0,8.0
22,E2BC7BA6-18A8-429B-85F1-A89440134656,29.900000000000002,"['Caucasian', '', 'African American']",0.0,90.0,216.0,125.0,0.0,2.0,2.0,258.0,153.0,19.0,0.0,6.0,0.0,0.0,2.0,258.0,7.0,0.0,3.0,152.0,0.0
23,475D9B68-1A06-4AC7-8C1B-B40786EEB886,47.300000000000004,"['', 'Caucasian', 'Latino or Hispanic']",0.0,42.0,46.0,199.0,0.0,113.0,3.0,41.0,9.0,114.0,3.0,49.0,0.0,3.0,113.0,47.0,56.0,0.0,14.0,9.0,0.0
24,9C682D0E-CFE1-48D0-90B4-30BC6E19DAEA,21.4,"['Caucasian', '', ""I'd rather not answer""]",0.0,17.0,52.0,33.0,0.0,47.0,0.0,15.0,1.0,59.0,0.0,6.0,0.0,0.0,47.0,16.0,6.0,0.0,6.0,1.0,0.0
25,52D80046-A54F-49BF-A6B1-40A8691B10CB,43.2,"['Caucasian', '', 'African American']",0.0,26.0,56.0,25.0,0.0,0.0,0.0,13.0,2.0,45.0,0.0,67.0,1.0,0.0,0.0,15.0,68.0,0.0,0.0,3.0,0.0
26,DFF5BCB3-2F9E-41D1-9806-6B3A51247375,11.3,"['', 'Caucasian']",0.0,1.0,1.0,17.0,0.0,14.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,14.0,1.0,3.0,0.0,0.0,0.0,0.0
27,D7995098-29B4-4DB9-9C0D-C0000298C7E6,33.6,"['Caucasian', '', 'African American']",0.0,29.0,71.0,67.0,0.0,160.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,7.0,0.0
28,503E8D3F-01D7-48E8-A18B-F97F5E40077B,1.3,[''],0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
29,59960B36-F097-4BAB-9B03-F8A70FBD1E6A,417.40000000000003,"['Caucasian', 'African American', 'Not Hispanic or Latino']",1.0,491.0,1267.0,176.0,0.0,1117.0,34.0,291.0,98.0,419.0,10.0,149.0,2.0,9.0,1117.0,323.0,158.0,21.0,12.0,91.0,17.0
30,D9FB3446-3E3C-46AB-A71B-3E8FF114C0DF,60.2,"['Caucasian', '', 'African American']",0.0,44.0,112.0,12.0,0.0,75.0,0.0,38.0,3.0,42.0,4.0,21.0,0.0,0.0,75.0,39.0,22.0,0.0,12.0,4.0,1.0
31,B6E457F3-BD9F-467F-8F91-8118236A96ED,75.95,"['Caucasian', '', 'African American']",0.0,44.0,50.0,40.0,0.0,3.0,1.0,11.0,11.0,86.0,0.0,64.0,0.0,0.0,3.0,12.0,65.0,1.0,1.0,10.0,0.0
32,68705CB5-2B03-415B-9BD7-91FC25216774,6.6,"['', 'Caucasian,Latino or Hispanic']",0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
33,FA3D7631-9674-4237-99B5-D3B7787AD69A,1.5,"['Caucasian', ""I'd rather not answer"", '']",0.0,19.0,13.0,2.0,0.0,23.0,0.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,0.0,1.0,0.0,3.0
34,568CA7D4-C265-4BCA-8178-3FA3AE99C196,1.0,"['Caucasian', 'Caucasian,Latino or Hispanic']",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,12AE1919-FA7D-4E49-B81A-1DFFCD239FFC,132.70000000000002,"['Caucasian', '', 'Not Hispanic or Latino']",1.0,122.0,253.0,52.0,0.0,89.0,21.0,63.0,47.0,161.0,3.0,111.0,1.0,7.0,89.0,74.0,124.0,11.0,2.0,41.0,10.0
36,07E86B39-75EA-4660-A963-6290483E3FBF,2.1,"['Caucasian', 'Caucasian,Latino or Hispanic', '']",0.0,3.0,7.0,2.0,0.0,2.0,1.0,2.0,2.0,6.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0
37,B3F4A419-23D4-411C-BEDC-60B1089C7C7C,214.9,"['Caucasian', '', ""I'd rather not answer""]",1.0,164.0,374.0,68.0,0.0,237.0,15.0,64.0,81.0,218.0,5.0,41.0,7.0,6.0,237.0,68.0,51.0,9.0,83.0,82.0,8.0
38,75FB44B4-0D5A-47D4-96C0-239B3248A845,28.05,"['Caucasian', ""I'd rather not answer"", '']",0.0,28.0,74.0,10.0,0.0,74.0,3.0,8.0,7.0,16.0,0.0,12.0,1.0,0.0,74.0,8.0,15.0,1.0,0.0,5.0,0.0
39,ACB2C69E-4938-4B69-A441-BE58952F43F1,17.7,"['', 'Caucasian', 'Not Hispanic or Latino']",0.0,21.0,34.0,44.0,0.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,98.0,0.0,1.0,0.0,0.0,0.0,0.0
40,7DD9188C-E86B-441D-90EE-A591F4739709,3.9,"['Caucasian', ""I'd rather not answer"", 'Asian']",0.0,9.0,19.0,3.0,0.0,20.0,0.0,1.0,3.0,8.0,0.0,2.0,1.0,0.0,20.0,1.0,3.0,0.0,0.0,3.0,0.0
41,FA0EBC7C-CB7D-4728-B469-F907EF8709D2,6.2,"['', 'Caucasian', 'African American']",0.0,6.0,13.0,14.0,0.0,26.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,3.0,0.0
42,DB8CD1A3-C809-4177-8B58-B177FD9B18BE,11.8,"['Caucasian', '', 'Not Hispanic or Latino']",0.0,5.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,11.0,0.0,0.0
43,10669AD2-8B42-4606-801D-E770FFA0C746,33.8,"['Caucasian', 'Not Hispanic or Latino', 'African American']",1.0,24.0,33.0,8.0,0.0,4.0,9.0,6.0,6.0,44.0,0.0,16.0,0.0,2.0,4.0,6.0,18.0,9.0,0.0,6.0,0.0
44,1BABA22A-B74D-428E-8B60-B9FAB5746207,83.0,"['Caucasian', 'Not Hispanic or Latino', '']",0.0,44.0,106.0,17.0,0.0,9.0,0.0,67.0,9.0,76.0,2.0,8.0,1.0,0.0,9.0,70.0,12.0,0.0,63.0,7.0,1.0
45,14B13120-5F1F-4D77-945D-0FA0C8277D85,14.9,"['Caucasian', '', 'Not Hispanic or Latino']",0.0,4.0,13.0,3.0,0.0,11.0,1.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,11.0,4.0,1.0,0.0,0.0,1.0,0.0
46,8500BFF2-AFF8-4FC7-B53F-C6BFCA973DF5,1.1,"['Caucasian', 'Not Hispanic or Latino', 'African American']",0.0,5.0,17.0,1.0,0.0,12.0,0.0,5.0,1.0,8.0,0.0,1.0,0.0,0.0,12.0,5.0,1.0,0.0,0.0,1.0,0.0
47,754C6EBE-E5F2-4109-93FA-D9102937FC0B,2.5,"['Caucasian', '', 'African American']",0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
48,21FFF514-83D8-461B-8D6B-B670C55C0602,91.6,"['Caucasian', 'Not Hispanic or Latino', ""I'd rather not answer""]",0.0,74.0,155.0,18.0,0.0,138.0,10.0,12.0,41.0,85.0,0.0,5.0,2.0,2.0,138.0,17.0,8.0,7.0,0.0,28.0,1.0
49,2D709EED-87AD-44BE-9D17-F7209D16DA36,4.1,"['Caucasian', 'African American', ""I'd rather not answer""]",0.0,3.0,7.0,1.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,6.0,0.0
50,31F3FDF0-3A4B-446E-A9AA-DE01C95020ED,6.4,"['Caucasian', '', 'African American']",0.0,16.0,24.0,8.0,0.0,46.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0
51,00A9B6DF-1D82-44C3-8492-75E25CBD1970,0.4,['Caucasian'],0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
52,B68EB95B-020E-48C0-9B8F-D45BC98A27B7,501.55,"['Caucasian', 'Latino or Hispanic', 'African American']",3.0,1036.0,2545.0,344.0,8.0,2934.0,187.0,111.0,31.0,977.0,35.0,67.0,15.0,9.0,2739.0,111.0,133.0,284.0,84.0,53.0,72.0
53,00B35187-BD80-4658-A0D4-5B654A7C1F71,0.4,['Caucasian'],0.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
54,00CFE246-5AC3-4CB7-86BB-26F5954BF940,4.5,"['Caucasian', 'Not Hispanic or Latino', 'African American']",0.0,3.0,17.0,1.0,0.0,2.0,1.0,2.0,2.0,20.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,5.0,0.0
55,C5A39633-D08F-41B7-89CF-8FB72D2B9C0D,142.2,"['Caucasian', '', 'Latino or Hispanic']",0.0,43.0,96.0,24.0,2.0,64.0,11.0,28.0,8.0,60.0,7.0,11.0,3.0,2.0,59.0,28.0,13.0,7.0,5.0,17.0,1.0
56,49F3A10D-B1C0-48D0-A4E4-3343D8B3CE45,16.2,"['Caucasian', 'Latino or Hispanic', ""I'd rather not answer""]",0.0,17.0,21.0,4.0,0.0,15.0,2.0,14.0,1.0,18.0,0.0,1.0,0.0,0.0,2.0,14.0,1.0,2.0,13.0,1.0,0.0
57,8A78D0D5-9BAA-48C1-9316-AA041FF318B7,0.8999999999999999,"['', 'Caucasian']",0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
58,ABA82DC8-631B-44EE-9B34-68A329C50C78,104.7,"['Caucasian', 'Not Hispanic or Latino', '']",0.0,48.0,114.0,23.0,0.0,57.0,9.0,59.0,3.0,68.0,3.0,15.0,3.0,0.0,50.0,59.0,15.0,9.0,7.0,7.0,6.0
59,FDD5BF40-06C4-4951-A8B2-B14532904656,29.3,"['Not Hispanic or Latino', 'Caucasian', 'Hispanic or Latino']",0.0,11.0,37.0,2.0,0.0,47.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
60,8433456A-9FCF-4D10-883C-ECAE963805ED,4.5,"['Not Hispanic or Latino', 'Caucasian']",0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
61,00D7706E-1B37-4380-B3E0-B62F053FEA7A,4.6,"['', 'Caucasian', 'Latino or Hispanic']",0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
62,59C1710C-0D02-4D34-BE10-E87A4D0F315E,3.0,"['Caucasian', 'African American', 'Latino or Hispanic']",3.0,1649.0,2899.0,570.0,5.0,1323.0,230.0,1475.0,293.0,2270.0,29.0,527.0,16.0,2.0,1165.0,1475.0,646.0,248.0,136.0,321.0,75.0
63,00E05283-C725-4A9A-8DAB-8A1E208F33E9,4.2,"['Caucasian', 'Latino or Hispanic', 'Asian']",0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0
64,0100F70A-E72D-4777-9E0D-F7D18C87C7E1,0.4,"['Latino or Hispanic', 'Asian']",0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,01082937-C917-407E-8341-91EC27FDC3A0,1.0,['African American'],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
66,0115441F-C47D-47E1-98E6-83CAE776F0EE,15.9,"['Caucasian', 'Latino or Hispanic', '']",0.0,22.0,37.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0
67,55890748-C5F1-4787-9A96-9F22EAC0CEA0,1.0,"['African American', 'Caucasian', '']",0.0,0.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
68,9DB56007-38ED-4595-A6F0-677E3184E697,65.0,"['Caucasian', 'Not Hispanic or Latino', 'Latino or Hispanic']",0.0,24.0,98.0,9.0,0.0,89.0,1.0,29.0,0.0,3.0,0.0,9.0,0.0,0.0,79.0,29.0,12.0,1.0,10.0,0.0,0.0
69,EB1EEEC7-AB79-4434-BA83-D77AFE1F1635,401.83000000000004,"['Caucasian', 'Latino or Hispanic', 'African American']",0.0,554.0,865.0,182.0,1.0,486.0,143.0,314.0,121.0,712.0,21.0,107.0,24.0,2.0,385.0,314.0,178.0,137.0,96.0,132.0,29.0
70,A43AF77A-7593-4912-B478-EEE67D5E594A,0.8,"['Caucasian', 'Latino or Hispanic', 'African American']",0.0,3.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0
71,011DADEF-61E9-4E06-A4A6-FD51DDAA5265,11.7,"['Caucasian', 'Asian']",0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,012EAAE9-23A8-4B21-9BD4-42BE3CAC4CA4,4.2,"['Caucasian', ""I'd rather not answer""]",0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
73,98615C38-D882-449C-BEA1-272CB9C8850F,37.1,"['Caucasian', 'Not Hispanic or Latino', '']",0.0,52.0,138.0,27.0,1.0,135.0,5.0,29.0,1.0,56.0,12.0,5.0,1.0,0.0,42.0,29.0,4.0,15.0,93.0,5.0,1.0
